```json
{
  "selected_ids": [
    "Auth Hardening",
    "Encryption Upgrade",
    "Firewall Rules Update",
    "Index Rebalancing",
    "Load Balancer Tuning",
    "Memory Pooling",
    "Query Optimizer",
    "Rate Limiting",
    "Secure Boot Enforcement",
    "Session Timeout Enforcement",
    "TLS Certificate Automation",
    "Threat Modeling",
    "Thread Pool Optimization",
    "Thread Safety Audit",
    "Vulnerability Scanner Update",
    "API Latency Reduction",
    "Cache Layer Rewrite",
    "Data Compression",
    "Monitoring Dashboard",
    "Performance Metrics Aggregation",
    "Request Batching",
    "Secure Logging",
    "Secure Defaults Review",
    "Sandbox Environment",
    "Secrets Management",
    "Scheduling Optimization",
    "Threat Modeling",
    "Thread Pool Optimization",
    "Thread Safety Audit",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
    "Throttle Login Attempts",
