Family,Condition,N,Accuracy (Mean),Accuracy (Std),F1 (Mean),Exact Match Rate,Parse Rate,Pass Rate,Semantic Equiv Rate
1_selection_classification,CTRL,200,0.411,0.208,0.530,0.015,1.000,0.015,0.000
1_selection_classification,MG,200,0.709,0.358,0.738,0.015,1.000,0.015,0.030
1_selection_classification,NL,200,0.784,0.399,0.777,0.765,1.000,0.765,0.030
2_structured_extraction,CTRL,200,0.000,0.000,0.000,0.000,1.000,0.000,0.000
2_structured_extraction,MG,200,0.000,0.000,0.000,0.000,1.000,0.000,0.060
2_structured_extraction,NL,200,0.000,0.000,0.000,0.000,1.000,0.000,0.060
3_constraint_composition,CTRL,200,0.026,0.102,0.033,0.005,1.000,0.005,0.000
3_constraint_composition,MG,200,0.014,0.093,0.014,0.005,1.000,0.005,0.025
3_constraint_composition,NL,200,0.029,0.108,0.037,0.005,1.000,0.005,0.025
4_conditional_transformation,CTRL,200,0.050,0.029,0.050,0.000,0.995,0.000,0.000
4_conditional_transformation,MG,200,0.662,0.383,0.662,0.000,1.000,0.000,0.000
4_conditional_transformation,NL,200,0.662,0.383,0.662,0.000,1.000,0.000,0.000
