Family,Condition,N,Accuracy (Mean),Accuracy (Std),F1 (Mean),Exact Match Rate,Parse Rate,Pass Rate,Semantic Equiv Rate
1_selection_classification,CTRL,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1_selection_classification,MG,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1_selection_classification,NL,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2_structured_extraction,CTRL,1,0.000,0.000,0.000,0.000,1.000,0.000,0.000
2_structured_extraction,MG,1,0.000,0.000,0.000,0.000,1.000,0.000,0.000
2_structured_extraction,NL,1,0.000,0.000,0.000,0.000,1.000,0.000,0.000
3_constraint_composition,CTRL,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3_constraint_composition,MG,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3_constraint_composition,NL,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4_conditional_transformation,CTRL,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4_conditional_transformation,MG,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4_conditional_transformation,NL,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
